text,urgency,request_type
Планирую беременность — хочу пройти обследование заранее.,Плановое,Запись на прием
Добрый вечер. Почечная недостаточность — плановая нефрологическая консультация. Ребёнку 4 года.,Плановое,Наблюдение
Хронический гастрит — ежегодная ФГДС по плану.,Плановое,Наблюдение
Остеопороз — плановая денситометрия раз в год. Хронических болезней нет.,Плановое,Наблюдение
Хочу поговорить с врачом о вреде курения и как бросить.,Консультационное,Запись на прием
Нашли повышенный сахар в аптеке — хочу к эндокринологу срочно. Буду благодарен.,Срочное,Запись на прием
После удаления желчного — плановое УЗИ и консультация хирурга. Мне 35 лет. Что посоветуете?,Плановое,Наблюдение
"Срочно! Сильное кровотечение после родов, памперс намокает каждые 10 минут.",Экстренное,Перенаправление в экстренные службы
"Нужна консультация диетолога по питанию, не срочно.",Плановое,Запись на прием
Хочу записаться к терапевту на следующей неделе для планового осмотра. Жене 45 лет.,Плановое,Запись на прием
Обнаружила увеличенный лимфоузел в паху — к какому врачу?,Срочное,Запись на прием
"Пожилой отец говорит что ему очень плохо, бледный, холодный пот. Что делать?",Экстренное,Вызов врача
Помогите! Выпадение волос сильное — записаться к трихологу или эндокринологу?,Срочное,Запись на прием
Нужна консультация по ЗГТ при климаксе — к какому врачу? Мне 35 лет.,Консультационное,Запись на прием
"Огнестрельное ранение случайное на охоте, много крови теряет. Нужна ваша помощь.",Экстренное,Перенаправление в экстренные службы
"Сломал шею упав с лестницы, не чувствую ноги, не двигаются.",Экстренное,Перенаправление в экстренные службы
Хочу сдать гормоны щитовидной железы — нужно направление? Очень беспокоюсь.,Плановое,Запись на прием
Добрый день! Хочу проверить давление и сдать анализы — запись к терапевту.,Плановое,Запись на прием
"Ребёнок съел ягоды с куста не знаю какие, рвёт, испуган.",Экстренное,Вызов врача
Ребёнок со сколиозом — плановый осмотр ортопеда раз в 6 мес.,Плановое,Наблюдение
Добрый вечер. Мониторинг МРТ головного мозга через год после лечения. Аллергии нет.,Плановое,Наблюдение
Помогите! Выпадение волос сильное — записаться к трихологу или эндокринологу? Я беременна 28 недель.,Срочное,Запись на прием
Крапивница по всему телу после приёма нового лекарства.,Экстренное,Вызов врача
"Плановая колоноскопия — мне 50, врач рекомендовал.",Плановое,Запись на прием
"Сломал шею упав с лестницы, не чувствую ноги, не двигаются. Хронических болезней нет. Подскажите пожалуйста.",Экстренное,Перенаправление в экстренные службы
Срочно! Нормально ли что ребёнок 2 года ещё не говорит словами? Что делать?,Консультационное,Консультация или вопрос
Как понять что у меня синдром раздражённого кишечника? Ребёнку 4 года. Прошу помочь.,Консультационное,Консультация или вопрос
Хочу поговорить с врачом о вреде курения и как бросить. Буду благодарен.,Консультационное,Запись на прием
"Острая боль в ухе взрослого, несколько часов не проходит. Нужна ваша помощь.",Срочное,Вызов врача
Здравствуйте! Можно ли принимать магний при гипертонии? Что посоветуете?,Консультационное,Консультация или вопрос
Запишите на консультацию по вопросам контрацепции к гинекологу.,Консультационное,Запись на прием
"Помогите! Диабетическая кома — сахар 0.8 по глюкометру, без сознания.",Экстренное,Перенаправление в экстренные службы
Плановое УЗИ органов брюшной полости — направление нужно? Как быть?,Плановое,Запись на прием
"Срочно! Открытый перелом ноги после аварии, кость торчит, кровотечение. Прошу помочь.",Экстренное,Перенаправление в экстренные службы
Беременность 20 недель — плановое УЗИ скрининг. Нужна ваша помощь.,Плановое,Наблюдение
Гепатит С в ремиссии — плановое наблюдение гепатолога. Жене 45 лет.,Плановое,Наблюдение
Планирую беременность — хочу пройти обследование заранее. Прошу помочь.,Плановое,Запись на прием
"Добрый вечер. Кожная сыпь не проходит 2 недели, зудит — запись к дерматологу. Ребёнку 4 года.",Срочное,Запись на прием
Срочно! Хочу поговорить с педиатром о режиме дня грудничка.,Консультационное,Запись на прием
Консультация ортопеда по поводу плоскостопия у ребёнка.,Консультационное,Запись на прием
"Помогите пожалуйста. Зрение ухудшилось за последний месяц, запишите к офтальмологу.",Срочное,Запись на прием
Срочно! Хочу обсудить с врачом риски операции по поводу грыжи.,Консультационное,Запись на прием
Хочу получить второе мнение по поставленному диагнозу.,Консультационное,Запись на прием
Обострение псориаза — хочу к дерматологу как можно скорее. Как быть?,Срочное,Запись на прием
Мама жалуется на сильное головокружение и тошноту с утра.,Срочное,Вызов врача
"Нужен осмотр гинеколога раз в год, давно не была. Бабушке 75. Это опасно?",Плановое,Запись на прием
"Добрый день! Плановая колоноскопия — мне 50, врач рекомендовал.",Плановое,Запись на прием
Хочу обсудить возможность лазерной коррекции зрения.,Консультационное,Запись на прием
Ребёнок со сколиозом — плановый осмотр ортопеда раз в 6 мес.,Плановое,Наблюдение
Боль в правом подреберье после жирного — нужно УЗИ и гастроэнтеролог. Что делать?,Срочное,Запись на прием
Обострение псориаза — хочу к дерматологу как можно скорее. Бабушке 75. Прошу помочь.,Срочное,Запись на прием
Плановый осмотр у кардиолога раз в год — запишите пожалуйста. Мне 35 лет.,Плановое,Запись на прием
Помогите пожалуйста. После ковида одышка и слабость — хочу провериться у пульмонолога.,Срочное,Запись на прием
"Срочно! У меня кашель уже неделю, температура нормальная. Что делать?",Консультационное,Консультация или вопрос
Консультация нефролога по результатам анализа мочи. Что посоветуете?,Консультационное,Запись на прием
"Психотический эпизод у соседа, ведёт себя агрессивно, нужна помощь. Жене 45 лет. Очень беспокоюсь.",Экстренное,Вызов врача
Здравствуйте! Хочу проверить давление и сдать анализы — запись к терапевту. Что делать?,Плановое,Запись на прием
"Острая боль в ухе взрослого, несколько часов не проходит. Как быть?",Срочное,Вызов врача
Помогите пожалуйста. Нужна справка в санаторий от терапевта и кардиолога.,Плановое,Запись на прием
"Добрый день! Нашла уплотнение в груди, хочу срочно попасть к маммологу.",Срочное,Запись на прием
"Резкое ухудшение зрения на один глаз — пелена, вспышки. Что посоветуете?",Экстренное,Вызов врача
"Нашла уплотнение в груди, хочу срочно попасть к маммологу. Я беременна 28 недель. Прошу помочь.",Срочное,Запись на прием
Хочу обсудить с кардиологом результаты ЭКГ — ничего не понял. Мне 52 года.,Консультационное,Запись на прием
Помогите пожалуйста. После удаления желчного — плановое УЗИ и консультация хирурга. Ребёнку 4 года.,Плановое,Наблюдение
"Помогите пожалуйста. Ожог кипятком — большая площадь на спине ребёнка, кожа слезает.",Экстренное,Перенаправление в экстренные службы
Плановый осмотр у кардиолога раз в год — запишите пожалуйста.,Плановое,Запись на прием
"Добрый вечер. Ребёнку 1 год — нужна плановая вакцинация, когда прийти?",Плановое,Запись на прием
"Привет! Плановая колоноскопия — мне 50, врач рекомендовал.",Плановое,Запись на прием
"Нужна консультация диетолога по питанию, не срочно.",Плановое,Запись на прием
Контрольное УЗИ щитовидки через 6 месяцев после лечения. Что делать?,Плановое,Наблюдение
Выпадение волос сильное — записаться к трихологу или эндокринологу? Мне 35 лет. Как быть?,Срочное,Запись на прием
"Рана на ноге краснеет и припухает, наверное инфицировалась. Ребёнку 4 года. Нужна ваша помощь.",Срочное,Вызов врача
"Ребёнок не ест 2 дня, вялый, температура 37.8, понос.",Срочное,Вызов врача
"Резкая боль в спине прихватило, не могу разогнуться. Буду благодарен.",Срочное,Вызов врача
Онкология в ремиссии — плановый контрольный визит онколога.,Плановое,Наблюдение
Помогите! Хочу поговорить с врачом о вреде курения и как бросить.,Консультационное,Запись на прием
Ребёнку нужна справка в бассейн от педиатра. Подскажите пожалуйста.,Плановое,Запись на прием
Добрый день! Остеопороз — плановая денситометрия раз в год.,Плановое,Наблюдение
Нужна консультация по ЗГТ при климаксе — к какому врачу? Аллергии нет. Прошу помочь.,Консультационное,Запись на прием
"Нужна консультация диетолога по питанию, не срочно. Мужу 68 лет.",Плановое,Запись на прием
Нужен осмотр аллерголога весной перед сезоном. Это опасно?,Плановое,Запись на прием
"Добрый день! Ребёнок не ест 2 дня, вялый, температура 37.8, понос.",Срочное,Вызов врача
Срочно! Странная родинка увеличилась — срочно к дерматологу-онкологу.,Срочное,Запись на прием
У меня низкий гемоглобин — что есть чтобы поднять?,Консультационное,Консультация или вопрос
Добрый вечер. Нужна консультация генетика — в семье были случаи рака.,Консультационное,Запись на прием
Помогите пожалуйста. Резко повысилось давление после стресса — кардиолог нужен. Что делать?,Срочное,Запись на прием
Здравствуйте! Плановый осмотр у эндокринолога — контроль щитовидки.,Плановое,Запись на прием
Помогите пожалуйста. Нормально ли что ребёнок 2 года ещё не говорит словами?,Консультационное,Консультация или вопрос
"Здравствуйте! Ребёнок 1 год горит — 40.5, вялый, не реагирует нормально.",Экстренное,Вызов врача
"Воспаление лимфоузла на шее — болит, растёт несколько дней. Ребёнку 4 года. Прошу помочь.",Срочное,Вызов врача
Здравствуйте! Нужна консультация педиатра — ребёнок развивается нормально?,Консультационное,Запись на прием
"Рана на ноге краснеет и припухает, наверное инфицировалась. Хронических болезней нет. Как быть?",Срочное,Вызов врача
Хочу получить направление к специалисту от терапевта.,Консультационное,Запись на прием
"Кашель не проходит уже 3 недели, хочу провериться у терапевта. Прошу помочь.",Срочное,Запись на прием
"Боль в суставе колена острая после тренировки, опухло. Что посоветуете?",Срочное,Вызов врача
Добрый вечер. Нужна консультация по ЗГТ при климаксе — к какому врачу?,Консультационное,Запись на прием
"Помогите! Сильное кровотечение после родов, памперс намокает каждые 10 минут. Как быть?",Экстренное,Перенаправление в экстренные службы
"Помогите пожалуйста. Ребёнок подавился и долго кашлял, сейчас успокоился, но хрипит. Как быть?",Срочное,Вызов врача
Добрый день! Хочу проверить давление и сдать анализы — запись к терапевту.,Плановое,Запись на прием
Острая боль в правом боку снизу — думаю аппендицит. Аллергии нет.,Экстренное,Вызов врача
Хочу обсудить с врачом риски операции по поводу грыжи. Аллергии нет.,Консультационное,Запись на прием
Хочу сдать гормоны щитовидной железы — нужно направление? Прошу помочь.,Плановое,Запись на прием
Нужна справка для работы — когда можно прийти к терапевту? Что посоветуете?,Плановое,Запись на прием
"У меня сильная боль в груди слева уже час, нитроглицерин не помогает. Как быть?",Экстренное,Вызов врача
"Ребёнок захлебнулся водой в бассейне, откачали но он вялый и дышит плохо. Буду благодарен.",Экстренное,Перенаправление в экстренные службы
"Ребёнок подавился и долго кашлял, сейчас успокоился, но хрипит. Мужу 68 лет. Как быть?",Срочное,Вызов врача
Сильное жжение в желудке ночью — гастроэнтеролог нужен быстро. Прошу помочь.,Срочное,Запись на прием
"Здравствуйте! Сыпь по телу ребёнка внезапная, зудит, температура нет. Очень беспокоюсь.",Срочное,Вызов врача
"Срочно! Воспаление лимфоузла на шее — болит, растёт несколько дней. Мужу 68 лет.",Срочное,Вызов врача
"Нужна консультация диетолога по питанию, не срочно. Очень беспокоюсь.",Плановое,Запись на прием
"Привет! Повышенное давление 160/100 несколько дней, таблетки не помогают.",Срочное,Вызов врача
Срочно! Нужен осмотр аллерголога весной перед сезоном. Что делать?,Плановое,Запись на прием
Добрый день! Острая боль в правом боку снизу — думаю аппендицит. Мне 52 года.,Экстренное,Вызов врача
"Помогите! Мне 40 лет, хочу пройти полное обследование профилактически. Это опасно?",Плановое,Запись на прием
Нужна консультация дерматолога по уходу за кожей с розацеа. Ребёнку 4 года. Прошу помочь.,Консультационное,Запись на прием
Мне прислали результаты МРТ — хочу разобраться что значит. Мне 35 лет.,Консультационное,Запись на прием
"Муж выпил уксус случайно, в рот не смотрел что пьёт. Что делать срочно?",Экстренное,Перенаправление в экстренные службы
"У меня сильная боль в груди слева уже час, нитроглицерин не помогает. Я беременна 28 недель. Это опасно?",Экстренное,Вызов врача
Помогите пожалуйста. Справка для водительских прав — к какому врачу? Что посоветуете?,Плановое,Запись на прием
"Здравствуйте! Плановая колоноскопия — мне 50, врач рекомендовал.",Плановое,Запись на прием
Здравствуйте! Мама жалуется на сильное головокружение и тошноту с утра.,Срочное,Вызов врача
"Срочно! Судороги у мужа продолжаются больше 5 минут, ранее эпилепсии не было.",Экстренное,Перенаправление в экстренные службы
"Повышенное давление 160/100 несколько дней, таблетки не помогают. Это опасно?",Срочное,Вызов врача
Здравствуйте! Псориаз — плановый визит к дерматологу для оценки ремиссии.,Плановое,Наблюдение
Привет! Влияет ли стресс на повышение давления? Прошу помочь.,Консультационное,Консультация или вопрос
Нужна справка в санаторий от терапевта и кардиолога. У меня диабет.,Плановое,Запись на прием
"Муж выпил уксус случайно, в рот не смотрел что пьёт. Что делать срочно? Что посоветуете?",Экстренное,Перенаправление в экстренные службы
После травмы колено опухает — нужен ортопед или травматолог.,Срочное,Запись на прием
"Утопление — вытащили из воды, откачиваем, нужна скорая. Что посоветуете?",Экстренное,Перенаправление в экстренные службы
"Кашель не проходит уже 3 недели, хочу провериться у терапевта. Что делать?",Срочное,Запись на прием
Хочу поговорить с врачом о профилактике остеопороза. Хронических болезней нет.,Консультационное,Запись на прием
Хочу узнать какие прививки нужны перед поездкой в Азию. Буду благодарен.,Консультационное,Запись на прием
Ребёнок заикается после испуга — нужен логопед или невролог?,Срочное,Запись на прием
"Обострение гастрита — боль сильная после еды, рвота.",Срочное,Вызов врача
Контрольный анализ крови после курса лечения антибиотиками.,Плановое,Наблюдение
"Приступ эпилепсии прошёл, но пациент вялый и не в себе.",Срочное,Вызов врача
Беременность 20 недель — плановое УЗИ скрининг. Мужу 68 лет. Подскажите пожалуйста.,Плановое,Наблюдение
Пожилая мать упала и сломала бедро судя по всему — кричит от боли. Подскажите пожалуйста.,Экстренное,Перенаправление в экстренные службы
"Срочно! Малыш 8 мес не мочится 12 часов, плачет непрерывно. Я беременна 28 недель.",Экстренное,Вызов врача
Диабет 2 типа — плановый контроль показателей каждые 3 месяца. Я беременна 28 недель. Подскажите пожалуйста.,Плановое,Наблюдение
Можно ли заниматься спортом при варикозе? Хронических болезней нет. Что посоветуете?,Консультационное,Консультация или вопрос
Планирую беременность — хочу пройти обследование заранее. Как быть?,Плановое,Запись на прием
Добрый вечер. Резко повысилось давление после стресса — кардиолог нужен. Бабушке 75.,Срочное,Запись на прием
Помогите пожалуйста. Слух снизился на одно ухо — нужен ЛОР срочно. У меня диабет.,Срочное,Запись на прием
"Ребёнок подавился и долго кашлял, сейчас успокоился, но хрипит. Я беременна 28 недель.",Срочное,Вызов врача
Здравствуйте! Сильное носовое кровотечение не останавливается 30 минут.,Экстренное,Вызов врача
"Здравствуйте! Резкая боль в спине прихватило, не могу разогнуться.",Срочное,Вызов врача
"Привет! Ребёнок порезал ладонь глубоко, наложили повязку, кровит.",Срочное,Вызов врача
"Муж выпил уксус случайно, в рот не смотрел что пьёт. Что делать срочно? Аллергии нет.",Экстренное,Перенаправление в экстренные службы
"Резкое падение давления до 70/40, слабость, почти в обмороке. Аллергии нет.",Экстренное,Вызов врача
"Ребёнок 5 лет сильно ударился головой об угол, шишка растёт. Нужна ваша помощь.",Срочное,Вызов врача
Хочу узнать какие витамины мне подходят — к терапевту? Бабушке 75. Прошу помочь.,Консультационное,Запись на прием
Добрый вечер. Странная родинка увеличилась — срочно к дерматологу-онкологу. Мужу 68 лет.,Срочное,Запись на прием
"Острый приступ подагры — нога опухла, красная, жар невыносимый. Буду благодарен.",Экстренное,Вызов врача
Безопасно ли долго носить контактные линзы? Ребёнку 4 года. Буду благодарен.,Консультационное,Консультация или вопрос
"Добрый день! Пожилой отец говорит что ему очень плохо, бледный, холодный пот.",Экстренное,Вызов врача
"Срочно! Судороги у мужа продолжаются больше 5 минут, ранее эпилепсии не было.",Экстренное,Перенаправление в экстренные службы
"Бабушка 82 года упала, ушиб бедра, ходит с трудом. Нужна ваша помощь.",Срочное,Вызов врача
Здравствуйте! Диабет 2 типа — плановый контроль показателей каждые 3 месяца.,Плановое,Наблюдение
"Сломал палец, деформация явная, посинение нарастает.",Экстренное,Вызов врача
"Воспаление после удаления зуба — щека опухла, пульсирует.",Срочное,Вызов врача
"Здравствуйте! Обострение гастрита — боль сильная после еды, рвота. Жене 45 лет.",Срочное,Вызов врача
"Ожог кипятком — большая площадь на спине ребёнка, кожа слезает.",Экстренное,Перенаправление в экстренные службы
"Острый панкреатит — боль опоясывающая невыносимая, рвёт. Бабушке 75. Что делать?",Экстренное,Вызов врача
Ребёнок аллергик — плановая консультация аллерголога весной. У меня диабет.,Плановое,Наблюдение
